FirstName,LastName,Phno,Email,Plot,Street,State,Country,Zip,swagger_Username,swagger_Pswd,swagger_base_URL,EndPoint,Code,Linemsg,Scenario,Method
ChilliMittx,sause,9818130299,abdMittf2@gfd.com,10A-01,santarita,texas,USA,98765,,userapi@2025,https://userserviceapp-f5a54828541b.herokuapp.com,/uap/users,401,Unauthorized,EmptyUsr,Common
ChilliMittxx,sause,9818130300,acdMittf3@gfd.com,10A-01,santarita,texas,USA,98765,Numpy@gmail.com,,https://userserviceapp-f5a54828541b.herokuapp.com,/uap/users,401,Unauthorized,EmptyPswd,Common
ChilliMittxxx,sause,9818130301,addMittf4@gfd.com,10A-01,santarita,texas,USA,98765,Numpy@gmail.com,userapi@2025,https://userserviceapp-f5a54828541b.herokuapp.com,/uap/users,404,Not Found,IncorrectEndPoint,Common
ChilliMittxxxxx,sause,9818130302,afdMittf6@gfd.com,10A-01,santarita,texas,USA,98765,,,https://userserviceapp-f5a54828541b.herokuapp.com,/uap/users,401,Unauthorized,No Auth,Common
ChilliMittxxxx,sause,9818130303,aedMittf5@gfd.com,10A-01,santarita,texas,USA,98765,Numpy@gmail.com,userapi@2025,https://userserviceapp-f5a54828541b.herokuseruapp.com,/uap/users,404,Not Found,IncorrectBaseURL,Common
ChilliMitt,sause,9818130304,aadMittf1@gfd.com,10A-01,santarita,texas,USA,98765,Numpy@gmail.com,userapi@2025,https://userserviceapp-f5a54828541b.herokuapp.com,/uap/users,200,OK,Valid,Common
Chilli12Mitt,sause,9818130305,aadMittf7@gfd.com,10A-01,santarita,texas,USA,98765,Numpy@gmail.com,userapi@2025,https://userserviceapp-f5a54828541b.herokuapp.com,/uap/users,400,Bad Request,NumericFirstname,Create
Chilli$!Mitt,sause,9818130306,aadMittf8@gfd.com,10A-01,santarita,texas,USA,98765,Numpy@gmail.com,userapi@2025,https://userserviceapp-f5a54828541b.herokuapp.com,/uap/users,400,Bad Request,SpecialCharFirstName,Create
,sause,9818130307,aadMittf9@gfd.com,10A-01,santarita,texas,USA,98765,Numpy@gmail.com,userapi@2025,https://userserviceapp-f5a54828541b.herokuapp.com,/uap/users,400,Bad Request,EmptyFirstName,Create
ChilliMitta,sause15,9818130308,aadMittf10@gfd.com,10A-01,santarita,texas,USA,98765,Numpy@gmail.com,userapi@2025,https://userserviceapp-f5a54828541b.herokuapp.com,/uap/users,400,Bad Request,NumericLastname,Create
